w1,w2,w3,w4,w5,w6,CL,CD,CM
-0.101518,-0.029082,-0.300932,0.478089,0.204226,0.349141,0.867000,0.01610000,-0.041100
-0.173262,-0.276835,-0.524215,0.522172,0.078682,0.238946,0.359900,0.01847000,0.087100
-0.175793,-0.404509,-0.014940,0.312531,0.245830,0.211062,0.463400,0.01096000,-0.018700
-0.253664,-0.558147,-0.525343,0.090124,0.294351,0.366784,-0.166700,0.01095000,0.085100
-0.408668,-0.328397,-0.333688,0.095674,0.204405,0.536877,-0.194700,0.01439000,0.034800
-0.451958,-0.073187,-0.207854,0.501991,0.137947,0.241013,0.417000,0.01526000,-0.001900
-0.303339,-0.094691,-0.343090,0.404003,0.525042,0.131271,0.585500,0.01284000,-0.011000
-0.307038,-0.302735,-0.597031,0.561223,0.430271,0.161095,0.500200,0.02018000,0.053800
-0.374196,-0.195983,-0.308412,0.247421,0.328109,0.150620,0.231100,0.00963000,0.012900
-0.289725,-0.572010,-0.568504,0.566560,0.583817,0.154876,-0.035700,0.01787000,0.146400
-0.394711,-0.002893,-0.485354,0.104599,0.167280,0.211669,0.172700,0.01376000,0.005500
-0.373982,-0.594943,-0.149175,0.390636,0.298638,0.025296,0.040100,0.01335000,0.068800
-0.480159,-0.553760,-0.092803,0.463656,0.037758,0.125157,-0.004800,0.01532000,0.060900
-0.567220,-0.510158,-0.135456,0.521722,0.319156,0.199397,0.189400,0.01621000,0.013300
-0.085354,-0.180946,-0.148745,0.239320,0.126903,0.131966,0.316500,0.00886000,0.034200
-0.343143,-0.241141,-0.353527,0.416756,0.302701,0.213640,0.220500,0.01122000,0.050400
-0.578857,-0.307655,-0.065721,0.485647,0.581925,0.277699,0.545000,0.01648000,-0.077700
-0.518198,-0.062367,-0.116980,0.566623,0.268433,0.123993,0.527200,0.01634000,-0.020200
-0.116642,-0.104111,-0.212596,0.397573,0.214875,0.237077,0.650600,0.01268000,-0.011800
-0.431137,-0.193204,-0.295966,0.314530,0.518449,0.003098,0.299300,0.01262000,0.011200
-0.414527,-0.331452,-0.022157,0.477505,0.237957,0.223795,0.468800,0.01421000,-0.026800
-0.291121,-0.057564,-0.453342,0.347521,0.341465,0.289725,0.629800,0.01493000,-0.031900
-0.397155,-0.354980,-0.149644,0.180445,0.535163,0.342870,0.489900,0.01210000,-0.090100
-0.056863,-0.092671,-0.178572,0.144741,0.401000,0.444720,0.914000,0.01094000,-0.138400
-0.529465,-0.112669,-0.512479,0.103910,0.194498,0.230492,0.027100,0.01556000,0.009300
-0.255221,-0.184624,-0.007396,0.117464,0.069049,0.191893,0.343600,0.01087000,-0.039700
-0.109489,-0.546469,-0.399871,0.591790,0.167309,0.096774,0.038800,0.01498000,0.169700
-0.262978,-0.010462,-0.109064,0.284569,0.330771,0.062869,0.535900,0.01026000,-0.027200
-0.145970,-0.164523,-0.187667,0.454559,0.558439,0.594728,0.773200,0.01512000,-0.071400
-0.426850,-0.542146,-0.140515,0.112106,0.595389,0.147458,0.206500,0.01228000,-0.036100
